"Post Title",Author,Bio,"Video URL","Video 2 URL","Video 3 URL","GIF Breakdown",Status,Type,Development,Emotions,"Fallen Affect","J Signal Mixing","P Signal Mixing",Alternative,Sex,"Age Range",Geography,Ethnicity,Checkbox,"Checkbox 1","R1 Rigid Posture Copy","R2 Face Centric","R3 Punctuated Motions","R4 Vertical Movements","R5 Subordinate Fluidity","F1 Fluid Posture","F2 Eye Centric","F3 Gliding Motions","F4 Horizontal Movements","F5 Subordinate Rigidity","PF1 Restless Momentum","PF2 Toggling Eyes","PF3 Body Swaying","PF4 Casual Hands","PF5 Alert Perk Ups","RF1 Viscous Inertia","RF2 Fixed Gaze","RF3 Diagonal Eye Drifts","RF4 Searching Scowling","RF5 Narrow Head Zoning","PR1 Head Pushes","PR2 Head Shakes","PR3 Shoulder Shrugs","PR4 Fluent Articulation","PR5 Projecting Hands","RR1 Poised Receding","RR2 Disengaging Eyes","RR3 Exerted Pushes","RR4 Momentum Halting","RR5 Meticulous Hands","CA1 Taut Nasolabial Area","CA2 Vertical Snarling Smiles","CA3 Four Point Pulling","CA4 Wobbling Lips","CA5 Asymmetrical Smirks","CA6 Sassy Movements","CA7 Plateau Velocity","CA8 Nasal Breathy Voice","CA9 Grasping Hands","MS1 Lax Nasolabial Area","MS2 Horizontal Curtain Smiles","MS3 Two Point Pulling","MS4 Symmetrical Lips","MS5 Emotional Neutralization","MS6 Coordinated Movements","MS7 Parabolic Velocity","MS8 Laryngeal Faint Voice","MS9 Puppeteer Hands","GR1 Taut Preseptal Area","GR2 Lax Pretarsal Area","GR3 Taut Outer Edges","GR4 Intense Scowling","GR5 Pointed Eye Toggles","GR6 Eye Head Parallel Motion","GR7 Grounding Effect","GR8 Bodily Awareness","SU1 Lax Preseptal Area","SU2 Taut Pretarsal Area","SU3 Lax Outer Edges","SU4 Concerned Scowling","SU5 Brushstrokes Eye Toggles","SU6 Eye Head Trailing Motions","SU7 Levity Effect","SU8 Quirky Skits","EU1 Responsive Nodding","EU2 Polite Smiling","EU3 Bashful Body Movements","EG1 Upset Mouth Tension","EG2 Assertive Pushing","EG3 Stern Expressions"
"Terence Crawford","Calin Copil","Terence Crawford is an American professional boxer known for his exceptional skill, versatility, and power. Born in 1987, he has held multiple world championships in three weight classes, including the undisputed welterweight title. In 2023, he became the first male boxer to win undisputed titles in two weight divisions in the four-belt era. Renowned for his switch-hitting ability, Crawford remains undefeated and is widely regarded as one of the best pound-for-pound fighters in the world, combining precision, strategy, and relentless aggression in the ring.",https://www.youtube.com/watch?v=2clIc4_uSkI,https://www.youtube.com/watch?v=XuUDBgg1jhA,https://www.youtube.com/watch?v=rkIn83-Sj7s,https://docs.google.com/document/d/1bcvwgEcCE0V9hTfwJ5bgVz9nbcadFsRHUZcpffPQmaw/edit,,seti,i--i,neutral,0,low,low,,male,1980s,north_america,black/african,,"juan_e._sandoval | calin_copil | ash_rose | peter_j._foy | ahmad_aldroubi",,,,2,,7,7,4,7,2,2,4,4,7,2,4,2,4,2,4,2,2,2,4,2,,2,,2,2,2,,,,4,,,,,4,7,7,4,7,4,4,7,,7,7,,2,7,7,7,4,,,7,,,,,,2,2,,2,2,2
"Shawn K. Baker","Calin Copil","Shawn K. Baker is USAID's Chief Nutritionist, where he leads the Nutrition Leadership Council and oversees the Center for Nutrition. With over 30 years of experience in global public health, Baker has focused on improving nutrition in low-income regions like sub-Saharan Africa and South Asia. He was previously the first director of nutrition at the Bill &amp; Melinda Gates Foundation and held key positions at Helen Keller International and Tulane University. He earned his Master’s in Public Health from Tulane University, specializing in international health​.
",https://www.youtube.com/watch?v=OrHhtQKPFeE,https://www.youtube.com/watch?v=1qPke8XSMk0,https://www.youtube.com/watch?v=1fqxoIha_FY,https://docs.google.com/document/d/15xNTlCzvKmif-9-6OgiFXRRCOQAlWjIFr5NL0HeGgr0/edit?tab=t.0,,nite,ii--,neutral,1,low,low,,male,-1,north_america,white/european,,"juan_e._sandoval | calin_copil | ash_rose | peter_j._foy | luke_connolly | ahmad_aldroubi",,,2,2,,4,2,2,7,7,,2,2,4,2,4,7,2,2,7,2,2,2,7,7,2,,2,2,2,4,2,4,2,,2,2,,4,0,,,,,2,2,2,,4,4,7,2,2,,2,0,,,,,2,,,,,,2,2,,2
"Steve Ludwin","Calin Copil","Steve Ludwin is a musician and snake enthusiast who has gained attention for his self-immunization experiments with snake venom. Since the late 1980s, he has been injecting himself with small amounts of venom from various species, believing it strengthens his immune system and provides overall health benefits. Ludwin's unique approach has sparked interest in the potential of venom-based therapies and alternative health practices.",https://www.youtube.com/watch?v=dlDSXBklq3U,https://www.youtube.com/watch?v=8varU-eU30k,https://www.youtube.com/watch?v=AcbqB0pFRPA,https://docs.google.com/document/d/1iicBNjZnqS3M-zNTJBt5T3Dvk530Aqu30JTuNRhZan8/edit?tab=t.0,,nefi,i-i-,unseelie,1,medium,low,,male,1960s,north_america,white/european,,"juan_e._sandoval | calin_copil | ahmad_aldroubi",2,2,4,7,,4,4,7,7,4,4,4,7,7,4,2,,2,2,2,7,4,2,7,7,,2,2,,2,7,4,7,7,7,4,2,0,0,,2,2,,,4,7,2,2,,,,,2,2,2,2,7,7,7,7,2,2,7,7,,,2,2,7,4
"Pete Wentz","Peter Foy","Pete Wentz is an American musician best known as the bassist and lyricist for the rock band Fall Out Boy. Born on June 5, 1979 in Illinois, he gained fame during the 2000s pop-punk and emo revival. His lyrics often reflect themes of love, heartbreak, and self-reflection, and he has become a notable figure in both music and pop culture. Beyond music, he's an entrepreneur, author, and philanthropist, involved in various ventures like his record label Decaydance and his clothing company Clandestine Industries.",https://www.youtube.com/watch?v=g3T1XfBep9Q&t=21s,https://www.youtube.com/watch?v=kUJ-ut6EH50&t=97s,https://www.youtube.com/watch?v=juOrGUWaSMI,https://docs.google.com/document/d/1u2x4u2eT19_ji-MTtguXyMI-2kpIqLgBq8hHIV7EHQE/edit?tab=t.0,,seti,iiii,neutral,1,low,medium,III-/II-I,male,1980s,north_america,white/european,,,2,2,2,2,2,7,4,7,4,4,7,7,7,2,4,2,7,4,4,2,4,4,4,2,4,4,4,4,2,7,,,,,2,,,,,7,7,7,7,7,4,4,2,,4,2,2,4,7,7,7,7,4,2,7,7,0,,,,2,4,,4,4,2
"Matthew Ball","Calin Copil","Matthew Ball is a British ballet dancer, renowned for his role as a principal dancer at The Royal Ballet in London. Born in 1993, Ball trained at The Royal Ballet School and quickly rose through the ranks. Known for his athleticism, technical precision, and touching performances, he has captivated audiences in leading roles, including in classics like ""Swan Lake"" and ""Romeo and Juliet.""",https://www.youtube.com/watch?v=BiFXsA68wCs,https://www.youtube.com/watch?v=KafB0ENMtGA,,https://docs.google.com/document/d/1YX2HVD-t1V3_TBZkzJ_KC2plty2PVxqMi2Dp4ui5B1k/edit?tab=t.0,,tise,i---,neutral,0,low,low,,male,1990s,western_europe,white/european,,"juan_e._sandoval | calin_copil | ash_rose | peter_j._foy | ahmad_aldroubi",7,7,2,2,2,,2,2,2,,2,4,2,2,2,,2,2,2,2,2,2,,4,2,4,7,4,4,7,2,,2,2,,,,,,2,7,7,4,7,2,4,4,2,2,7,7,4,4,7,4,4,,2,,,2,,,,2,4,,,,
"Lamine Yamal","Calin Copil","Lamine Yamal is a Spanish football prodigy who made history by debuting for FC Barcelona at just 15 years old, an extraordinary achievement in modern football. His technical brilliance and creativity have earned widespread praise. Yamal was pivotal in Spain’s triumph at the UEFA Euro 2024, winning the Best Young Player of the Tournament award and showcasing his talent and maturity at the highest level on the international stage, despite his remarkably young age.


",https://www.youtube.com/watch?v=JE2iWUUf80Y,https://www.youtube.com/watch?v=Mesdbu_rFc0,https://www.youtube.com/watch?v=McmEeVmk134,https://docs.google.com/document/d/1Nk2f5YYtLDt5IsG7HIwR91_k7KpBecFpS42fIGE0Eho/edit?usp=sharing,,seti,i---,neutral,0,low,low,,male,2000s,western_europe,black/african,,"juan_e._sandoval | calin_copil | ash_rose | peter_j._foy | luke_connolly | ahmad_aldroubi",0,2,,2,,4,4,4,7,2,4,4,4,4,2,2,2,,0,,,,7,4,,2,4,2,,2,,,,,,2,,,,7,7,7,7,7,0,0,7,,7,4,7,,7,7,7,7,,,,,,,,,2,2,4,0,,2
"Neve Campbell","Calin Copil","Neve Campbell is a Canadian actress best known for her roles in the horror franchise ""Scream"" and the TV series ""Party of Five."" Born on October 3, 1973, Campbell gained fame in the 1990s as a teen icon. Her portrayal of Sidney Prescott in ""Scream"" made her an iconic figure in horror. She also appeared in films like ""The Craft"" and ""Wild Things.""",https://www.youtube.com/watch?v=RkVUGQ2bvy8,https://www.youtube.com/watch?v=dnGxowXc5v4,https://www.youtube.com/watch?v=uEu_At4ZGhc,https://docs.google.com/document/d/16pkJLbl7xGIDogCdnfCz-BeYKOlyxnVyo2IybsmklnQ/edit?tab=t.0,,fesi,i-ii,adaptive,0,,,,female,1970s,north_america,white/european,,"juan_e._sandoval | calin_copil | ash_rose | peter_j._foy | luke_connolly | ahmad_aldroubi",7,4,4,4,4,,2,2,2,,2,4,2,4,4,,2,2,2,,7,2,2,7,7,7,2,0,2,7,2,2,4,2,0,0,2,,,2,7,7,4,4,7,7,2,2,,,2,,2,4,,2,7,4,4,4,2,2,4,2,4,7,7,,,2
"Nikola Jokic","Calin Copil","Nikola Jokić is a Serbian professional basketball player, renowned for his unique skill set as a center. Playing for the Denver Nuggets in the NBA, Jokić has earned multiple MVP titles for his exceptional passing, scoring, and basketball IQ. Standing at 6'11"", he is a versatile player, known for his playmaking ability, vision, and calm demeanor, leading the Nuggets to an NBA championship in 2023.

",https://www.youtube.com/watch?v=8txdOpW1VR8,https://www.youtube.com/watch?v=sMoo7s3NH9w,https://www.youtube.com/watch?v=ECci_YaTL_A,https://docs.google.com/document/d/1-1Qq42G_LWKypTMviiDlvAzV6qodEHEho_GlCBPN7Ug/edit?tab=t.0,,sefi,i--i,neutral,1,high,low,SeTi,male,1990s,eastern_europe,white/european,,"juan_e._sandoval | calin_copil | ash_rose",,2,,2,,7,7,4,4,2,4,7,7,7,2,4,4,2,2,4,2,4,4,4,,,2,2,2,2,2,2,4,4,4,4,4,,,2,4,4,2,7,,,2,0,2,7,2,2,7,4,4,7,,,2,2,,,,,,0,2,2,0,7
"Brian Chesky","Calin Copil","Brian Chesky is the co-founder and CEO of Airbnb, the global home-sharing platform. Born in 1981, Chesky studied industrial design at the Rhode Island School of Design. He co-launched Airbnb in 2008, revolutionizing the travel industry by enabling people to rent out their homes to travelers. Under his leadership, Airbnb became a major player in the hospitality sector, expanding globally.


",https://www.youtube.com/watch?v=isP3eik9iDk,https://www.youtube.com/watch?v=ia6Di_ytiSE,https://www.youtube.com/watch?v=GP0f3M57uao,https://docs.google.com/document/d/1uYzhq-GBQMlwRT967EsJ5dbzjvogd-UDmkuIsFNL6cw/edit?usp=sharing,,teni,i-i-,neutral,0,medium,low,"Other developments",male,1980s,north_america,white/european,,"juan_e._sandoval | calin_copil | ash_rose | peter_j._foy | ahmad_aldroubi",4,4,7,7,7,2,2,4,4,,2,4,4,7,2,2,4,2,2,4,7,4,4,7,7,2,2,0,2,4,4,0,4,7,7,4,4,2,2,,,2,2,2,4,7,,2,4,4,7,7,7,4,2,2,,2,,,2,,2,,2,,,0,2,4
"Pearl Davis","Juan E. Sandoval","Hannah Pearl Davis is a prominent social media influencer and content creator, known for her provocative commentary on relationships, gender dynamics, and modern culture. She gained significant attention through her YouTube channel, where she shares discussions and interviews, often challenging contemporary feminist ideas. Known for her straightforward and unapologetic approach, Davis has amassed a significant following and frequently collaborates with other influencers in the manosphere, promoting conversations around men's and women's roles in contemporary society.",https://www.youtube.com/watch?v=Nozp7S6BDT8&ab_channel=Pearl,https://www.youtube.com/watch?v=Wnoxf2WZc6Q&t=136s,https://www.youtube.com/watch?v=xUkLO45Jpc4&t=128s&ab_channel=DavidSutcliffe,https://docs.google.com/document/d/1SXb-P041mtzq-sbpr8rFWAmaod71WyiljvrzjLgWiOc/edit,,neti,iiii,neutral,0,low,low,TiNe,female,1990s,north_america,white/european,,"juan_e._sandoval | calin_copil | ash_rose",4,2,2,4,4,2,4,4,4,7,2,7,4,7,4,2,4,4,4,4,2,4,7,2,4,2,4,4,4,4,,,,2,,2,2,,4,7,7,4,4,4,4,4,4,,,,2,2,2,,4,2,4,4,2,4,4,4,4,2,2,2,2,,,
"Agnes Obel","Calin Copil","Agnes Obel is a Danish singer, songwriter, and pianist known for her ethereal, melancholic sound. Blending classical music with folk and indie elements, her compositions are haunting and introspective. Obel's debut album Philharmonics (2010) gained international acclaim for its delicate piano arrangements and emotive vocals. Her music explores themes of solitude, nature, and the human condition, making her a distinctive voice in contemporary music.
",https://www.youtube.com/watch?v=jt3A4yTXXyg,https://www.youtube.com/watch?v=GwEsdbR80SE,https://www.youtube.com/watch?v=GV_qEqzKGiE,https://docs.google.com/document/d/1AbzYwklxG1WByVHKhGq5x5Jlj0EFeDR8zDW4IoH18rc/edit,,tine,i---,neutral,2,low,low,,female,1980s,western_europe,white/european,,"juan_e._sandoval | calin_copil | ash_rose | peter_j._foy | luke_connolly | ahmad_aldroubi",4,7,2,2,4,2,,2,4,,,4,7,2,,,2,2,2,,2,2,2,2,2,4,7,4,7,7,4,2,2,2,2,,,,,,4,4,4,7,2,2,4,7,,2,2,2,,2,2,,4,4,4,7,4,2,2,,,2,4,,,2
"Hassan Nasrallah","Calin Copil","Hassan Nasrallah (1960–2024) was the Secretary-General of Hezbollah, a Shiite militant and political organization in Lebanon, from 1992 until his death in 2024. He played a pivotal role in transforming Hezbollah into a powerful political force and a major player in Middle Eastern conflicts, especially in opposition to Israel and the U.S. ",https://www.youtube.com/watch?v=SnjUV6I-GIc,https://www.youtube.com/watch?v=EJ53nEfYWz0,https://www.youtube.com/watch?v=_5CRtW7vGR8,https://docs.google.com/document/d/1cHn0sc_YfCb2tkds2YiTTS9z6hsgIIqpbIjlb42I0fo/edit,,nife,ii--,neutral,2,low,low,,male,1960s,middle_east/north_africa,arabic,,"juan_e._sandoval | calin_copil | ash_rose | peter_j._foy",,2,2,4,,4,4,4,7,4,,2,4,4,,4,7,7,2,7,4,2,2,4,7,2,2,,,4,,,,,,,,,,2,7,7,7,4,7,7,7,4,2,2,7,4,2,2,2,,4,,,,,,,,0,2,,2,2,4
"Evangeline Lilly","Peter Foy","Evangeline Lilly is a Canadian actress and author, best known for her roles on the TV series Lost and Marvel's Ant-Man films. Beyond acting, she is also a children's book writer and has a strong interest in humanitarian causes and environmental activism. She embraces a balanced lifestyle, blending her career with creative writing, while remaining vocal on issues like self-care and mental health.",https://www.youtube.com/watch?v=nYuxDtclE7k&t=31s,https://www.youtube.com/watch?v=z6Pj_ID-mvM,https://www.youtube.com/watch?v=GAuXk_VGABQ&t=23s,,,feni,i-i-,adaptive,0,low,low,I-II,female,1980s,north_america,white/european,,peter_j._foy,7,7,4,7,4,2,,4,4,,4,7,7,2,4,,2,2,,,7,4,2,7,7,4,4,2,,4,2,2,2,,2,,,2,2,7,7,7,7,2,4,4,4,2,7,2,4,7,4,4,4,2,2,4,,2,0,,,2,4,7,4,2,4,2
"John Rzeznik","Calin Copil","John Rzeznik is the lead singer, guitarist, and songwriter for the Goo Goo Dolls, an American rock band formed in 1986. He gained widespread recognition for writing the band's biggest hit, ""Iris,"" which topped charts in the late 1990s. Known for his distinctive voice and introspective lyrics, Rzeznik's work has earned him critical acclaim, multiple awards, and a lasting presence in the alternative rock scene.

",https://www.youtube.com/watch?v=NhlFooruJv4,https://www.youtube.com/watch?v=rYlqRlOt3-E&,https://www.youtube.com/watch?app=desktop&v=YUs5R9j9Qhg,https://docs.google.com/document/d/18sGDxpCy8JOa-G2Bx5voIaBb8fxOCYVyZEv9yFibm0g/edit?usp=sharing,,seti,iii-,neutral,0,low,low,,male,1960s,north_america,white/european,,calin_copil,2,2,2,2,,4,4,4,7,4,2,7,7,7,4,2,2,2,4,,2,2,2,4,7,4,7,2,4,4,2,,2,0,2,2,,,,4,7,7,7,7,4,4,7,2,4,4,4,7,4,4,4,4,2,2,0,0,2,2,2,7,2,2,2,,2,2
"Anna Sawai","Peter Foy","Anna Sawai is a Japanese-New Zealand actress, singer, and dancer, known for her roles in film and television. She gained international recognition for her performance in Fast &amp; Furious 9 (2021) and her role in the TV series Pachinko (2022). Most recently, she's been nominated for an Emmy as the lead in Shōgun (2024), a historical drama set in feudal Japan. Sawai is often described as introspective, sensitive, and passionate about portraying her characters with depth and cultural accuracy, reflecting her dedication to acting and storytelling​",https://www.youtube.com/watch?v=zPFyQ2V0avw&t=57s,https://www.youtube.com/watch?v=AFDRMLp2UDM&t,https://www.youtube.com/watch?v=xmz-hqgaA94,,,fise,ii-i,seelie,0,low,low,,female,1990s,east_asia,east_asian,,peter_j._foy,7,7,4,2,4,2,2,4,4,2,2,7,4,4,4,,2,2,,,7,4,2,4,4,7,7,2,2,4,2,7,7,7,4,4,4,4,,4,4,4,2,,,2,,,7,2,7,,7,7,2,2,2,,,,,,,,2,7,2,2,2,
"Daniil Dubov","Peter Foy","Daniil Dubov is a Russian chess grandmaster known for his unorthodox playstyle and outspoken personality. Born in 1996, Dubov became a grandmaster at age 14 and gained recognition for his deep preparation and bold sacrifices. He was part of Magnus Carlsen's team during the 2018 World Chess Championship and won the 2018 World Rapid Chess Championship. Dubov’s intellectual curiosity and nonconformist approach push the boundaries of modern chess.",https://www.youtube.com/watch?v=iDLQyNKKbvw&t=855s,https://youtu.be/rimjT4Pj3jY?si=sBYrhzqfxPtbYBDO&t=342s,https://www.youtube.com/watch?v=3nq9ueqiLKw,,,seti,i-ii,directive,3,medium,low,,male,1990s,eastern_europe,white/european,,peter_j._foy,,2,,,,7,7,7,7,7,4,4,7,7,4,4,4,4,2,4,4,7,4,7,4,,2,,2,2,,2,,7,2,2,2,,,7,2,2,4,4,2,2,7,,7,,7,4,4,2,7,4,,7,,2,,2,,,2,0,,7,7,4
"Erick Godsey","Calin Copil","Erick Godsey is a writer, podcaster, and coach known for his work on psychology, self-awareness, and personal growth. He blends ancient wisdom, Jungian psychology, and modern science to guide individuals toward a deeper understanding of their minds and purpose. Through his podcast, The Myths That Make Us, he explores the stories that shape people’s identities and how to rewrite them for transformation.
",https://www.youtube.com/watch?v=oX_d-79t_Xs,https://www.youtube.com/watch?v=tF-wYuOLBpM,https://www.youtube.com/watch?v=JzSe72ikIjw,https://docs.google.com/document/d/1osQYYX48bugI5a_IlXglmHt0zR_Gmqq213_roN7e9bc/edit,,nife,iii-,neutral,1,low,low,,male,-1,north_america,white/european,,"juan_e._sandoval | calin_copil",4,4,4,4,,2,4,2,7,4,,2,2,4,2,7,7,4,4,4,4,2,,4,7,7,2,4,4,7,,,,,,,,,,4,7,7,7,7,7,7,7,4,4,7,7,7,4,2,4,2,,,,,,,,,2,2,,,,2
"Cailee Spaeny","Calin Copil","Cailee Spaeny is an American actress known for her versatility and dynamic performances. She gained recognition for her role in ""Pacific Rim: Uprising"" and further impressed with performances in ""Bad Times at the El Royale"" and ""Alien: Romulus."" Spaeny's rising career has seen her take on diverse roles in both film and television, showcasing her talent and strong screen presence.
",https://www.youtube.com/watch?v=TtgwwHEDiPM,https://www.youtube.com/watch?v=25kFK-nuSMQ,https://www.youtube.com/watch?v=Q4x6mN9jBMY,https://docs.google.com/document/d/1JK1Jc0J134tgsNvaUT2Vn79Kn3Z1v29e0EMz0ReBNiA/edit,,sefi,iii-,neutral,1,low,medium,,female,1990s,north_america,white/european,,"juan_e._sandoval | calin_copil | ash_rose",4,4,4,4,,4,7,4,7,7,7,4,7,7,2,,2,2,2,,7,4,2,4,4,4,4,2,2,4,4,7,7,4,2,7,7,4,2,,,,,2,2,2,,2,4,4,2,2,4,4,7,2,2,2,4,0,7,,2,,2,2,4,0,2,4
"Zoe Kravitz","Calin Copil","Zoë Kravitz, born December 1, 1988, is an American actress, singer, and model. Daughter of musician Lenny Kravitz and actress Lisa Bonet, she has starred in films like ""X-Men: First Class,"" ""Mad Max: Fury Road,"" and portrayed Catwoman in ""The Batman"" (2022). Zoe also leads the band Lolawolf, is a prominent fashion figure collaborating with brands like Calvin Klein and Saint Laurent, and advocates for diversity.",https://www.youtube.com/watch?v=adXG_HI3gAw,https://www.youtube.com/watch?v=aSzRjQo-Bcg,https://www.youtube.com/watch?v=GTpBlC2vTa4,https://docs.google.com/document/d/1NjBUP_QRglwG7Mhpjqwx_E_R9sHsAWTF6BhfM98sbNA/edit,,tise,i--i,neutral,0,low,low,"II-I in the 3rd vid.",female,1980s,north_america,other/unknown,,"juan_e._sandoval | calin_copil",7,7,4,4,4,0,,2,4,,2,2,2,4,2,,2,2,2,2,2,4,4,4,4,7,7,7,2,7,2,,2,2,,2,2,,2,4,7,7,4,7,4,7,4,7,4,4,7,2,4,2,2,2,,,,,,,,,2,4,2,,2,2
"Machine Gun Kelly","Calin Copil","Machine Gun Kelly (MGK), born Colson Baker, is an American musician and actor known for blending rap, pop, rock, and punk influences in his music. Rising to fame with his rapid-fire rap style, MGK later transitioned into pop-punk, gaining mainstream success with albums like Tickets to My Downfall. In addition to his music career, MGK has appeared in films like The Dirt and Midnight in the Switchgrass, expanding his influence in both entertainment and fashion.",https://www.youtube.com/watch?v=Le0u232ODx8,https://www.youtube.com/watch?v=TfhbIAL8En0,https://www.youtube.com/watch?v=Bj-8bg54ohM,https://docs.google.com/document/d/1_6EuGyrPWdQ0OioL7RWEqBDakS75bkP6lC3_bA9tnp4/edit,,seti,ii--,neutral,3,low,low,,male,1990s,north_america,white/european,,"juan_e._sandoval | calin_copil",2,2,2,4,,4,7,4,7,4,4,4,7,7,2,,2,,4,,2,2,2,4,2,2,4,4,4,4,2,,,2,2,,,,,7,4,4,7,7,4,7,7,4,4,4,2,7,4,7,7,4,2,,4,2,2,2,,,2,2,2,2,4,7
"Steve Fuller","Calin Copil","Steve Fuller is a sociologist and philosopher of science known for his work on the sociology of knowledge and science and technology studies. He has written extensively on the role of science in society, emphasizing the social construction of knowledge and the political dimensions of scientific practices. Fuller is also known for his controversial support of intelligent design and critiques of mainstream scientific institutions.",https://www.youtube.com/watch?v=M4Rwca7k_Fs,https://www.youtube.com/watch?v=PQsD1oCnd0A,https://www.youtube.com/watch?v=RKDEAFYhPm8,https://docs.google.com/document/d/1y7uCDQd0qVQKy-XBhVqD4YEG0wd-2l7ubL7Zdnj5dzo/edit,,fesi,iii-,neutral,0,low,low,,male,1950s,north_america,white/european,,"juan_e._sandoval | calin_copil",4,4,7,7,7,4,2,2,4,,4,2,4,7,2,2,2,4,7,4,7,7,2,7,7,2,2,0,2,2,,,2,2,,4,4,,2,2,4,4,2,2,7,7,4,4,4,2,,,2,2,2,,4,2,7,7,2,2,2,,2,4,,0,7,4
